policy_id,attack_id,attack_type,category,severity,attack_applied,poisoned_hash
ADM-AST-001,"ATT-0257,ATT-0256,ATT-0267,ATT-0260,ATT-0259","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,High,Medium,Medium",True,037125996ee74638cb8a9633674ba59b6bbf9b768863de121c9ef77cac520b77
ADM-AST-002,"ATT-0248,ATT-0262,ATT-0247","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","Medium,High,Medium",True,04682e30d8224a9daab4395c5d946563beddd82d7079f96450ed4c7e6cbba0e5
ADM-AST-003,"ATT-0262,ATT-0259,ATT-0252,ATT-0260,ATT-0257","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","High,Medium,Medium,Medium,Medium",True,09dd6c5cb5f7483fd9d37087abb2b18ea88f58c3d8d9aa0a320981d956eb6e1f
ADM-AST-004,"ATT-0246,ATT-0247,ATT-0249","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium",True,0afbea4ae85d1514541f1fe1fb319341d958d5bd210c2412717ff8e1970a3099
ADM-AST-005,"ATT-0259,ATT-0260,ATT-0246","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium",True,bf98f678d061c1449b08dc50535b9e135781f017ab2b9993f8578b2c78f01801
ADM-AST-006,"ATT-0249,ATT-0267,ATT-0266,ATT-0269,ATT-0264","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,High,High,High",True,c685c4fd4b49f4a742041d5a17023f5ec457e26a5b6de3d4aae9c7446057d479
ADM-AST-007,"ATT-0254,ATT-0258,ATT-0260,ATT-0255","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium,Medium",True,9cf52ce17eefed3309b53d4f272be5d53b0a5d40f7c94a59cc0d0100828a7d5b
ADM-AST-008,"ATT-0258,ATT-0260,ATT-0248","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium",True,d9a2efb3077c101a4b92a1d16b1eb29467f77d9ab105fce61486c50c0af3f503
ADM-AST-009,"ATT-0262,ATT-0261,ATT-0255,ATT-0253,ATT-0254","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","High,High,Medium,Medium,Medium",True,31c6c6dfe0198c326d3c2ae9cdb0cf0a3b34d7977d1d8fe5cb5e94d852d34dc2
ADM-AST-010,"ATT-0252,ATT-0270,ATT-0262,ATT-0269","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,High,High",True,a4364e6b0c1ecf8c60fa6d0ffc01fc4363ec454d9268ec453e26d22ef07578ef
ADM-AST-011,"ATT-0269,ATT-0261,ATT-0265,ATT-0260","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","High,High,High,Medium",True,1ae64588891edcbf241c0c83079ea614223dd3493f9c7d7bad446bb7f6636025
ADM-AST-012,"ATT-0257,ATT-0253,ATT-0254","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium",True,4a6f022d3ce57f72485958d3d1401c1e6bdc5ddfe9f14296a9fbc25722925488
ADM-AST-013,"ATT-0265,ATT-0257,ATT-0247","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","High,Medium,Medium",True,8041e975097b4d4409790aaff4eedf7e3ed68f9fd0208dd3437ad3ab67efbdfa
ADM-AST-014,"ATT-0255,ATT-0269,ATT-0266,ATT-0265,ATT-0261","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,High,High,High",True,edb0ee191b05d7fed4762f45712a339c77275e401e426b3bad6a87d7aa76115c
ADM-AST-015,"ATT-0254,ATT-0267,ATT-0252,ATT-0251,ATT-0266","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,Medium,Medium,High",True,f4bafbb5c4bf54e975867e6cabd1daea0afa8fa08ba17b1b8d0febcfa6954fbc
ADM-AST-016,"ATT-0263,ATT-0250,ATT-0247","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","High,Medium,Medium",True,a78271e2643bfe8ea306dc369d4629eb2ac207920ab160ba6316e642d76e7b2b
ADM-AST-017,"ATT-0264,ATT-0247,ATT-0252","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","High,Medium,Medium",True,31ae6c911c1aeb159dc35811e3999b8df645d62edd0f24ab0775db832c21c986
ADM-AST-018,"ATT-0258,ATT-0266,ATT-0256,ATT-0253","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,Medium,Medium",True,51ebb1db95ac14326f2ce439156f21418f5c6b5f2ffe3b45fb4d6ed55162910b
ADM-AST-019,"ATT-0261,ATT-0259,ATT-0266,ATT-0260","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","High,Medium,High,Medium",True,b998b0f0ac238407e0956cc19cd62a065b02be3e0ab55fceb88c3d7b4176ac87
ADM-AST-020,"ATT-0260,ATT-0256,ATT-0259,ATT-0247,ATT-0255","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium,Medium,Medium",True,37a5801f3a0cda0db0195b42b2695bda3461666483ac517beec57311fe3c2889
ADM-AST-021,"ATT-0253,ATT-0264,ATT-0267,ATT-0254,ATT-0270","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,High,High,Medium,High",True,001d754b1ddab94807887e616a783b4ae862aed5738d125623436efea0049f87
ADM-AST-022,"ATT-0257,ATT-0255,ATT-0266,ATT-0267","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,High,High",True,e3ef7d12c078455a983444818a5cc9bd6843a6a96bc6998f1a0684859bccfd8f
ADM-AST-023,"ATT-0249,ATT-0256,ATT-0251,ATT-0246,ATT-0260","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium,Medium,Medium",True,712cb24e45e634f7f34743929318d7d0f3c5989321311e71e709ff253ec07cf9
ADM-AST-024,"ATT-0268,ATT-0256,ATT-0257","Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management","High,Medium,Medium",True,7ad2ae181222bdf903d1884fa360da5ae7d780031391973a15c1617044b2b6ee
ADM-AST-025,"ATT-0252,ATT-0254,ATT-0260,ATT-0262","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Asset_Management,Asset_Management,Asset_Management,Asset_Management","Medium,Medium,Medium,High",True,22f5534fd2390725e84aa864059032d2ae31417ba463bf5f096e415e1a490856
ADM-PSC-001,"ATT-0199,ATT-0226,ATT-0223,ATT-0222","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Critical,High,High",True,7efa8bbe9ed2ff41a5a9ee0fd9914ca2a42f8f34e3b49e9ca2067a7ab79169b6
ADM-PSC-002,"ATT-0193,ATT-0188,ATT-0190,ATT-0219,ATT-0189","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Medium,Critical,Critical,Medium,Critical",True,3d7b6df06af4605acaa6997841cb2f60935b9cdaeab56d1cb07f2174f636b020
