source_policy,target_policy,relation
ADM-AST-001,ADM-AST-002,shared_department
ADM-AST-001,ADM-AST-003,shared_department
ADM-AST-001,ADM-AST-004,shared_department
ADM-AST-001,ADM-AST-005,shared_department
ADM-AST-001,ADM-AST-006,shared_department
ADM-AST-001,ADM-AST-007,shared_department
ADM-AST-001,ADM-AST-008,shared_department
ADM-AST-001,ADM-AST-009,shared_department
ADM-AST-001,ADM-AST-010,shared_department
ADM-AST-001,ADM-AST-011,shared_department
ADM-AST-001,ADM-AST-012,shared_department
ADM-AST-001,ADM-AST-013,shared_department
ADM-AST-001,ADM-AST-014,shared_department
ADM-AST-001,ADM-AST-015,shared_department
ADM-AST-001,ADM-AST-016,shared_department
ADM-AST-001,ADM-AST-017,shared_department
ADM-AST-001,ADM-AST-018,shared_department
ADM-AST-001,ADM-AST-019,shared_department
ADM-AST-001,ADM-AST-020,shared_department
ADM-AST-001,ADM-AST-021,shared_department
ADM-AST-001,ADM-AST-022,shared_department
ADM-AST-001,ADM-AST-023,shared_department
ADM-AST-001,ADM-AST-024,shared_department
ADM-AST-001,ADM-AST-025,shared_department
ADM-AST-001,ADM-PSC-001,shared_department
ADM-AST-001,ADM-PSC-002,shared_department
ADM-AST-001,ADM-PSC-003,shared_department
ADM-AST-001,ADM-PSC-004,shared_department
ADM-AST-001,ADM-PSC-005,shared_department
ADM-AST-001,ADM-PSC-006,shared_department
ADM-AST-001,ADM-PSC-007,shared_department
ADM-AST-001,ADM-PSC-008,shared_department
ADM-AST-001,ADM-PSC-009,shared_department
ADM-AST-001,ADM-PSC-010,shared_department
ADM-AST-001,ADM-PSC-011,shared_department
ADM-AST-001,ADM-PSC-012,shared_department
ADM-AST-001,ADM-PSC-013,shared_department
ADM-AST-001,ADM-PSC-014,shared_department
ADM-AST-001,ADM-PSC-015,shared_department
ADM-AST-001,ADM-PSC-016,shared_department
ADM-AST-001,ADM-PSC-017,shared_department
ADM-AST-001,ADM-PSC-018,shared_department
ADM-AST-001,ADM-PSC-019,shared_department
ADM-AST-001,ADM-PSC-020,shared_department
ADM-AST-001,ADM-PSC-021,shared_department
ADM-AST-001,ADM-PSC-022,shared_department
ADM-AST-001,ADM-PSC-023,shared_department
ADM-AST-001,ADM-PSC-024,shared_department
ADM-AST-001,ADM-PSC-025,shared_department
ADM-AST-001,ADM-VIS-001,shared_department
ADM-AST-001,ADM-VIS-002,shared_department
ADM-AST-001,ADM-VIS-003,shared_department
ADM-AST-001,ADM-VIS-004,shared_department
ADM-AST-001,ADM-VIS-005,shared_department
ADM-AST-001,ADM-VIS-006,shared_department
ADM-AST-001,ADM-VIS-007,shared_department
ADM-AST-001,ADM-VIS-008,shared_department
ADM-AST-001,ADM-VIS-009,shared_department
ADM-AST-001,ADM-VIS-010,shared_department
ADM-AST-001,ADM-VIS-011,shared_department
ADM-AST-001,ADM-VIS-012,shared_department
ADM-AST-001,ADM-VIS-013,shared_department
ADM-AST-001,ADM-VIS-014,shared_department
ADM-AST-001,ADM-VIS-015,shared_department
ADM-AST-001,ADM-VIS-016,shared_department
ADM-AST-001,ADM-VIS-017,shared_department
ADM-AST-001,ADM-VIS-018,shared_department
ADM-AST-001,ADM-VIS-019,shared_department
ADM-AST-001,ADM-VIS-020,shared_department
ADM-AST-001,ADM-VIS-021,shared_department
ADM-AST-001,ADM-VIS-022,shared_department
ADM-AST-001,ADM-VIS-023,shared_department
ADM-AST-001,ADM-VIS-024,shared_department
ADM-AST-001,ADM-VIS-025,shared_department
ADM-AST-002,ADM-AST-003,shared_department
ADM-AST-002,ADM-AST-004,shared_department
ADM-AST-002,ADM-AST-005,shared_department
ADM-AST-002,ADM-AST-006,shared_department
ADM-AST-002,ADM-AST-007,shared_department
ADM-AST-002,ADM-AST-008,shared_department
ADM-AST-002,ADM-AST-009,shared_department
ADM-AST-002,ADM-AST-010,shared_department
ADM-AST-002,ADM-AST-011,shared_department
ADM-AST-002,ADM-AST-012,shared_department
ADM-AST-002,ADM-AST-013,shared_department
ADM-AST-002,ADM-AST-014,shared_department
ADM-AST-002,ADM-AST-015,shared_department
ADM-AST-002,ADM-AST-016,shared_department
ADM-AST-002,ADM-AST-017,shared_department
ADM-AST-002,ADM-AST-018,shared_department
ADM-AST-002,ADM-AST-019,shared_department
